Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
14/03/2017,Fut,251,251,251,251,251,"251,0",D,0,0,400,TONS,1,"15,57",-251
15/03/2017,Fut,0,0,0,0,247,"-4,0",D,0,0,0,TONS,1,"15,58",-247
16/03/2017,Fut,0,0,0,0,250,"3,0",D,0,0,0,TONS,1,"15,57",-250
17/03/2017,Fut,0,0,0,0,250,0,D,0,0,0,TONS,1,"15,57",-250
20/03/2017,Fut,0,0,0,0,247,"-3,0",D,0,0,0,TONS,1,"15,77",-247
21/03/2017,Fut,0,0,0,0,242,"-5,0",D,0,0,0,TONS,1,"15,675",-242
22/03/2017,Fut,0,0,0,0,243,"1,0",D,0,0,0,TONS,1,"15,61",-243
23/03/2017,Fut,0,0,0,0,241,"-2,0",D,0,0,0,TONS,1,"15,665",-241
