Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
25/11/2020,Fut,"344,5","344,5","344,5","344,5","344,5","344,5",D,100,100,100,TONS,"80,79","80,91","-344,5"
26/11/2020,Fut,0,0,0,0,345,"0,5",D,100,0,0,TONS,"80,89","80,78",-345
27/11/2020,Fut,0,0,0,0,"346,5","1,5",D,100,0,0,TONS,"81,07","81,17","-346,5"
30/11/2020,Fut,0,0,0,0,"339,5","-7,0",D,100,0,0,TONS,"81,31","81,17","-339,5"
01/12/2020,Fut,0,0,0,0,339,"-0,5",D,0,-100,0,TONS,"81,43","81,52",-339
02/12/2020,Fut,335,335,335,335,335,"-4,0",D,0,0,200,TONS,"81,49","81,61",-335
03/12/2020,Fut,336,336,336,336,336,"1,0",D,0,0,100,TONS,"81,56","81,69",-336
04/12/2020,Fut,0,0,0,0,"332,5","-3,5",D,0,0,0,TONS,"81,65","81,79","-332,5"
09/12/2020,Fut,0,0,0,0,"326,5","-6,0",D,0,0,0,TONS,"82,04","82,18","-326,5"
10/12/2020,Fut,0,0,0,0,326,"-0,5",D,0,0,0,TONS,"82,13","82,02",-326
11/12/2020,Fut,0,0,0,0,331,"5,0",D,0,0,0,TONS,"82,21","82,34",-331
14/12/2020,Fut,0,0,0,0,331,0,D,0,0,0,TONS,"82,45","82,33",-331
15/12/2020,Fut,335,336,335,336,336,"5,0",D,1700,1700,7600,TONS,"82,53","82,41",-336
16/12/2020,Fut,0,0,0,0,336,0,D,0,-1700,0,TONS,"82,62","82,51",-336
17/12/2020,Fut,0,0,0,0,335,"-1,0",D,0,0,0,TONS,"82,71","82,85",-335
18/12/2020,Fut,0,0,0,0,"335,5","0,5",D,0,0,0,TONS,"82,84","82,97","-335,5"
21/12/2020,Fut,0,0,0,0,"336,5","1,0",D,0,0,0,TONS,"83,15","83,25","-336,5"
