Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
23/02/2022,Fut,259,259,259,259,265,"265,0",D,100,100,100,TONS,"107,28","107,37",-265
24/02/2022,Fut,0,0,0,0,276,"11,0",D,100,0,0,TONS,"107,38","107,47",-276
25/02/2022,Fut,0,0,0,0,262,"-14,0",D,0,-100,0,TONS,"107,45","107,52",-262
02/03/2022,Fut,0,0,0,0,"291,5","29,5",D,0,0,0,TONS,"107,93","107,86","-291,5"
03/03/2022,Fut,0,0,0,0,302,"10,5",D,0,0,0,TONS,"108,03","108,11",-302
04/03/2022,Fut,0,0,0,0,302,0,D,0,0,0,TONS,"108,13","108,24",-302
07/03/2022,Fut,0,0,0,0,299,"-3,0",D,0,0,0,TONS,"108,44","108,38",-299
08/03/2022,Fut,0,0,0,0,292,"-7,0",D,0,0,0,TONS,"108,56","108,48",-292
09/03/2022,Fut,0,0,0,0,284,"-8,0",D,0,0,0,TONS,"108,68","108,74",-284
10/03/2022,Fut,0,0,0,0,281,"-3,0",D,0,0,0,TONS,"108,77","108,72",-281
11/03/2022,Fut,281,281,281,281,281,0,D,500,500,500,TONS,"108,88","108,95",-281
14/03/2022,Fut,0,0,0,0,274,"-7,0",D,500,0,0,TONS,"109,2","109,13",-274
15/03/2022,Fut,0,0,0,0,283,"9,0",D,500,0,0,TONS,"109,32","109,23",-283
16/03/2022,Fut,0,0,0,0,261,"-22,0",D,500,0,0,TONS,"109,41","109,49",-261
17/03/2022,Fut,0,0,0,0,268,"7,0",D,500,0,0,TONS,"109,51","109,45",-268
18/03/2022,Fut,0,0,0,0,263,"-5,0",D,500,0,0,TONS,"109,7","109,71",-263
21/03/2022,Fut,0,0,0,0,274,"11,0",D,500,0,0,TONS,"109,97","109,93",-274
22/03/2022,Fut,0,0,0,0,279,"5,0",D,500,0,0,TONS,"110,07","110,14",-279
23/03/2022,Fut,0,0,0,0,"284,5","5,5",D,500,0,0,TONS,"110,18","110,1","-284,5"
25/03/2022,Fut,0,0,0,0,"285,5","1,0",D,500,0,0,TONS,"110,38","110,47","-285,5"
28/03/2022,Fut,0,0,0,0,281,"-4,5",D,500,0,0,TONS,"110,68","110,63",-281
29/03/2022,Fut,0,0,0,0,"267,5","-13,5",D,500,0,0,TONS,"110,82","110,73","-267,5"
30/03/2022,Fut,278,"279,4",278,279,279,"11,5",D,700,200,600,TONS,"110,89","110,86",-279
31/03/2022,Fut,0,0,0,0,277,"-2,0",D,700,0,0,TONS,"111,01","111,06",-277
01/04/2022,Fut,0,0,0,0,282,"5,0",D,700,0,0,TONS,"111,12","111,07",-282
04/04/2022,Fut,0,0,0,0,282,0,D,700,0,0,TONS,"111,57","111,63",-282
05/04/2022,Fut,"288,5","290,3","288,5",290,290,"8,0",D,4800,4100,4700,TONS,"111,7","111,77",-290
06/04/2022,Fut,"290,4","290,5",290,290,290,0,D,5500,700,800,TONS,"111,83","111,91",-290
07/04/2022,Fut,291,"294,3",291,294,"295,1","5,1",D,6200,700,1700,TONS,"111,97","112,05","-295,1"
08/04/2022,Fut,303,303,303,303,303,"7,9",D,6600,400,4500,TONS,"112,16","112,19",-303
11/04/2022,Fut,306,307,306,306,306,"3,0",D,7400,800,1100,TONS,"112,58","112,51",-306
12/04/2022,Fut,310,312,310,"310,5","310,5","4,5",D,8700,1300,1900,TONS,"112,76","112,66","-310,5"
13/04/2022,Fut,313,313,"311,5",312,312,"1,5",D,8600,-100,1700,TONS,"112,97","112,96",-312
18/04/2022,Fut,312,312,312,312,313,"1,0",D,8700,100,100,TONS,"113,63","113,74",-313
19/04/2022,Fut,314,314,314,314,314,"1,0",D,8700,0,300,TONS,"113,78","113,85",-314
20/04/2022,Fut,316,317,316,316,"318,9","4,9",D,8900,200,2400,TONS,"113,96","114,02","-318,9"
21/04/2022,Fut,323,323,319,319,319,"0,1",D,12500,3600,5200,TONS,"114,09","114,19",-319
22/04/2022,Fut,"317,2",322,"317,2",322,322,"3,0",D,12300,-200,700,TONS,"114,23","114,31",-322
25/04/2022,Fut,"324,5","324,5","324,5","324,5","324,5","2,5",D,12300,0,100,TONS,"114,68","114,76","-324,5"
26/04/2022,Fut,"327,5",330,"327,5",330,330,"5,5",D,12500,200,2200,TONS,"114,85","114,78",-330
27/04/2022,Fut,327,"333,3",327,"332,5","332,5","2,5",D,13000,500,3000,TONS,"115,04","114,93","-332,5"
28/04/2022,Fut,"334,5","338,2","334,5","337,5","337,5","5,0",D,13700,700,5700,TONS,"115,18","115,25","-337,5"
29/04/2022,Fut,337,"337,1","336,9","337,1","336,3","-1,2",D,14200,500,900,TONS,"115,31","115,39","-336,3"
02/05/2022,Fut,0,0,0,0,"331,5","-4,8",D,14200,0,0,TONS,"115,73","115,69","-331,5"
03/05/2022,Fut,"331,3","331,3","330,8","330,8","328,3","-3,2",D,14300,100,200,TONS,"115,87","115,8","-328,3"
04/05/2022,Fut,344,344,"341,1",342,342,"13,7",D,16700,2400,2400,TONS,"116,02","115,95",-342
05/05/2022,Fut,347,347,"346,2","346,5","344,8","2,8",D,15500,-1200,1900,TONS,"116,16","116,22","-344,8"
06/05/2022,Fut,"343,8","343,8","343,8","343,8",343,"-1,8",D,15500,0,100,TONS,"116,3","116,38",-343
09/05/2022,Fut,"341,2","341,5","339,8","340,4","340,4","-2,6",D,16700,1200,3200,TONS,"116,75","116,82","-8,9"
10/05/2022,Fut,340,"343,9",340,"343,9","343,9","3,5",D,16800,100,5300,TONS,"116,93","116,85","-15,6"
11/05/2022,Fut,350,351,"349,8",351,351,"7,1",D,18600,1800,2800,TONS,"117,08","117,15",-9
12/05/2022,Fut,358,358,"356,7",358,"358,8","7,8",D,19000,400,1400,TONS,"117,25","117,32",-14
13/05/2022,Fut,"357,5","360,5","357,5",359,359,"0,2",D,22600,3600,5700,TONS,"117,43","117,47",-16
