Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
15/07/2021,Fut,209,209,209,209,209,"209,0",D,200,200,200,TONS,"96,18","96,26",-209
16/07/2021,Fut,"212,5","212,5","212,5","212,5","212,5","3,5",D,700,500,500,TONS,"96,22","96,15","-212,5"
19/07/2021,Fut,"212,8","212,8","212,2","212,5","212,5",0,D,700,0,400,TONS,"96,31","96,24","-212,5"
20/07/2021,Fut,216,"216,5",216,"216,5","216,5","4,0",D,1200,500,500,TONS,"96,34","96,41","-216,5"
21/07/2021,Fut,217,"217,5",216,216,216,"-0,5",D,1500,300,700,TONS,"96,36","96,3",-216
22/07/2021,Fut,0,0,0,0,212,"-4,0",D,1500,0,0,TONS,"96,41","96,33",-212
23/07/2021,Fut,0,0,0,0,211,"-1,0",D,1500,0,0,TONS,"96,42","96,5",-211
26/07/2021,Fut,211,211,"209,7","209,8","209,8","-1,2",D,2100,600,700,TONS,"96,54","96,59","-209,8"
27/07/2021,Fut,"209,6",210,"209,5",210,"211,5","1,7",D,4500,2400,2700,TONS,"96,57","96,64","-211,5"
28/07/2021,Fut,"214,5","214,5","214,5","214,5","213,5","2,0",D,4700,200,200,TONS,"96,61","96,71","-213,5"
29/07/2021,Fut,"216,3",217,"216,3",217,217,"3,5",D,5100,400,600,TONS,"96,64","96,62",-217
30/07/2021,Fut,219,219,219,219,218,"1,0",D,4900,-200,200,TONS,"96,69","96,77",-218
02/08/2021,Fut,0,0,0,0,"225,5","7,5",D,4900,0,0,TONS,"96,79","96,72","-225,5"
03/08/2021,Fut,225,225,225,225,225,"-0,5",D,5200,300,1100,TONS,"96,81","96,89",-225
04/08/2021,Fut,"224,5","224,5","224,5","224,5","224,5","-0,5",D,6100,900,900,TONS,"96,83","96,92","-224,5"
05/08/2021,Fut,0,0,0,0,224,"-0,5",D,6100,0,0,TONS,"96,89","96,8",-224
06/08/2021,Fut,227,"227,1","225,5","226,1","226,1","2,1",D,7900,1800,2400,TONS,"96,9","96,84","-226,1"
09/08/2021,Fut,225,226,225,226,226,"-0,1",D,8600,700,700,TONS,97,"97,07",-226
10/08/2021,Fut,229,"230,5",229,"230,5","230,5","4,5",D,10700,2100,2900,TONS,"97,03","97,1","-230,5"
11/08/2021,Fut,"231,5","231,5","231,1","231,5","231,2","0,7",D,10900,200,800,TONS,"97,04","97,13","-231,2"
12/08/2021,Fut,237,237,237,237,237,"5,8",D,11500,600,1300,TONS,"97,07","97,01",-237
13/08/2021,Fut,"240,5","240,5","238,2","238,5","238,6","1,6",D,14800,3300,3700,TONS,"97,11","97,17","-238,6"
17/08/2021,Fut,"232,6","232,6","231,5","231,5","232,5","-6,1",D,14800,0,300,TONS,"97,25","97,3","-232,5"
18/08/2021,Fut,236,237,236,237,237,"4,5",D,15300,500,800,TONS,"97,25","97,2",-237
