Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
29/08/2014,Fut,285,285,285,285,285,"285,0",D,100,100,100,TONS,1,"8,413",-285
01/09/2014,Fut,0,0,0,0,285,0,D,100,0,0,TONS,1,"8,394",-285
02/09/2014,Fut,287,287,286,286,287,"2,0",D,600,500,500,TONS,1,"8,418",-287
03/09/2014,Fut,"280,7","281,5","280,7","281,5",282,"-5,0",D,10600,10000,10000,TONS,1,"8,399",-282
04/09/2014,Fut,275,275,274,275,"274,9","-7,1",D,14200,3600,3700,TONS,1,"8,387","-274,9"
05/09/2014,Fut,278,279,278,279,279,"4,1",D,14600,400,600,TONS,1,"8,423",-279
08/09/2014,Fut,277,278,276,276,277,"-2,0",D,21100,6500,8300,TONS,1,"8,431",-277
09/09/2014,Fut,274,274,273,273,"273,4","-3,6",D,21900,800,1200,TONS,1,"8,394","-273,4"
10/09/2014,Fut,"274,5",275,273,273,"273,8","0,4",D,44700,22800,27500,TONS,1,"8,394","-273,8"
11/09/2014,Fut,269,270,269,270,"269,2","-4,6",D,48600,3900,5200,TONS,1,"8,413","-269,2"
12/09/2014,Fut,"271,5","271,5","271,5","271,5","271,5","2,3",D,51600,3000,3100,TONS,1,"8,411","-271,5"
15/09/2014,Fut,"274,6","274,6","274,5","274,5","274,5","3,0",D,55600,4000,6400,TONS,1,"8,416","-274,5"
16/09/2014,Fut,0,0,0,0,"273,3","-1,2",D,55600,0,0,TONS,1,"8,416","-273,3"
17/09/2014,Fut,273,"273,5",273,"273,5","273,5","0,2",D,66600,11000,11600,TONS,1,"8,423","-273,5"
18/09/2014,Fut,"271,9","271,9","269,5","269,5","271,5","-2,0",D,80000,13400,21500,TONS,1,"8,443","-271,5"
19/09/2014,Fut,268,268,"267,5","267,5",268,"-3,5",D,85200,5200,8800,TONS,1,"8,41",-268
22/09/2014,Fut,"262,5",263,261,261,263,"-5,0",D,89100,3900,4200,TONS,1,"8,436",-263
23/09/2014,Fut,"262,5","265,5","262,5",265,263,0,D,89700,600,900,TONS,1,"8,456",-263
24/09/2014,Fut,265,"267,5",265,"266,8","266,5","3,5",D,90400,700,2600,TONS,1,"8,456","-266,5"
25/09/2014,Fut,264,"267,5",264,"267,5","265,7","-0,8",D,96600,6200,7100,TONS,1,"8,448","-265,7"
26/09/2014,Fut,"265,5","266,5","264,5","264,5",265,"-0,7",D,100700,4100,5900,TONS,1,"8,446",-265
29/09/2014,Fut,"266,3",270,266,269,270,"5,0",D,110300,9600,11900,TONS,1,"8,437",-270
30/09/2014,Fut,268,"270,5","267,5","268,2","269,5","-0,5",D,116100,5800,10000,TONS,1,"8,496","-269,5"
01/10/2014,Fut,266,"266,1",265,265,"267,5","-2,0",D,116100,0,400,TONS,1,"8,424","-267,5"
02/10/2014,Fut,267,267,"263,5","263,5","265,5","-2,0",D,116100,0,500,TONS,1,"8,424","-265,5"
03/10/2014,Fut,260,260,"259,5","259,5",260,"-5,5",D,116800,700,2200,TONS,1,"8,439",-260
06/10/2014,Fut,"264,5",265,"264,5",265,"264,5","4,5",D,121000,4200,5500,TONS,1,"8,506","-264,5"
07/10/2014,Fut,267,269,"266,5",269,267,"2,5",D,126800,5800,8200,TONS,1,"8,506",-267
08/10/2014,Fut,"266,2","267,4",266,266,"266,9","-0,1",D,133100,6300,9400,TONS,1,"8,449","-266,9"
09/10/2014,Fut,268,268,267,"267,3","267,3","0,4",D,139100,6000,7400,TONS,1,"8,459","-267,3"
10/10/2014,Fut,266,266,265,266,265,"-2,3",D,147500,8400,12900,TONS,1,"8,486",-265
14/10/2014,Fut,271,"272,8","270,5","272,8","272,9","7,9",D,156000,8500,9800,TONS,1,"8,459","-272,9"
15/10/2014,Fut,"273,5",274,273,273,"273,7","0,8",D,166800,10800,11800,TONS,1,"8,496","-273,7"
16/10/2014,Fut,"275,2","277,5","275,2","277,5",277,"3,3",D,176600,9800,12300,TONS,1,"8,469",-277
17/10/2014,Fut,"276,5","276,5","275,8","275,8","274,2","-2,8",D,182500,5900,6000,TONS,1,"8,487","-274,2"
20/10/2014,Fut,272,273,272,272,"272,9","-1,3",D,188700,6200,8400,TONS,1,"8,469","-272,9"
21/10/2014,Fut,"277,5",278,276,278,277,"4,1",D,195000,6300,14900,TONS,1,"8,481",-277
22/10/2014,Fut,"280,5","280,5",278,279,"278,8","1,8",D,196400,1400,15600,TONS,1,"8,479","-278,8"
23/10/2014,Fut,282,286,"281,5",285,283,"4,2",D,201500,5100,20100,TONS,1,"8,494",-283
24/10/2014,Fut,283,283,"279,5",280,"280,5","-2,5",D,207700,6200,11000,TONS,1,"8,503","-280,5"
27/10/2014,Fut,282,"287,5",282,287,"286,5","6,0",D,216300,8600,19100,TONS,1,"8,484","-286,5"
28/10/2014,Fut,289,291,288,"289,1",290,"3,5",D,227400,11100,23900,TONS,1,"8,49",-290
29/10/2014,Fut,294,297,294,"295,5","296,5","6,5",D,235200,7800,20000,TONS,1,"8,515","-296,5"
30/10/2014,Fut,293,"293,5","286,5","286,5","290,5","-6,0",D,245400,10200,19200,TONS,1,"8,515","-290,5"
31/10/2014,Fut,288,295,288,"294,3",295,"4,5",D,250100,4700,18300,TONS,1,"8,493",-295
03/11/2014,Fut,292,"292,5","288,5","288,6",289,"-6,0",D,253700,3600,10500,TONS,1,"8,526",-289
04/11/2014,Fut,"286,5","286,5",283,"283,5",284,"-5,0",D,255100,1400,11100,TONS,1,"8,5",-284
05/11/2014,Fut,283,"287,5",283,"287,5",285,"1,0",D,259600,4500,13400,TONS,1,"8,501",-285
06/11/2014,Fut,"289,5",291,"288,5","289,5",285,0,D,263900,4300,10100,TONS,1,"8,501",-285
07/11/2014,Fut,290,"290,5",289,289,290,"5,0",D,264800,900,5300,TONS,1,"8,516",-290
10/11/2014,Fut,"289,5",291,"284,2","284,2",286,"-4,0",D,267600,2800,7000,TONS,1,"8,526",-286
11/11/2014,Fut,287,"292,5",287,292,"291,5","5,5",D,276200,8600,25700,TONS,1,"8,501","-291,5"
12/11/2014,Fut,296,296,290,290,"290,5","-1,0",D,275200,-1000,6100,TONS,1,"8,502","-290,5"
13/11/2014,Fut,293,294,"291,5","291,5",292,"1,5",D,274300,-900,8600,TONS,1,"8,517",-292
14/11/2014,Fut,290,290,285,287,285,"-7,0",D,278400,4100,19700,TONS,1,"8,517",-285
17/11/2014,Fut,286,289,286,289,288,"3,0",D,283200,4800,10400,TONS,1,"8,504",-288
