Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
07/07/2009,Fut,271,271,269,269,271,"271,0",D,2700,0,2800,TONS,1,"3,8",-271
08/07/2009,Fut,269,"269,1",266,266,266,"-5,0",D,5600,2900,3300,TONS,1,"3,816",-266
10/07/2009,Fut,0,0,0,0,266,0,D,5600,0,0,TONS,1,,-266
13/07/2009,Fut,0,0,0,0,"266,5","0,5",D,5600,0,0,TONS,1,"3,807","-266,5"
14/07/2009,Fut,0,0,0,0,269,"2,5",D,5600,0,0,TONS,1,"3,802",-269
15/07/2009,Fut,268,270,"266,5","266,5",268,"-1,0",D,6400,800,900,TONS,1,"3,81",-268
16/07/2009,Fut,261,262,260,260,260,"-8,0",D,7500,1100,1600,TONS,1,"3,803",-260
17/07/2009,Fut,0,0,0,0,265,"5,0",D,7500,0,0,TONS,1,"3,803",-265
20/07/2009,Fut,"266,5","266,5","266,5","266,5","268,5","3,5",D,8000,500,500,TONS,1,"3,803","-268,5"
21/07/2009,Fut,264,265,264,265,265,"-3,5",D,7500,-500,1300,TONS,1,"3,805",-265
22/07/2009,Fut,261,"264,5",261,264,"265,5","0,5",D,6700,-800,3000,TONS,1,"3,803","-265,5"
23/07/2009,Fut,267,268,267,"267,9","267,5","2,0",D,7200,500,1900,TONS,1,"3,804","-267,5"
24/07/2009,Fut,265,265,265,265,265,"-2,5",D,7400,200,1000,TONS,1,"3,804",-265
27/07/2009,Fut,"264,5","264,5","264,5","264,5",267,"2,0",D,7600,200,200,TONS,1,"3,807",-267
28/07/2009,Fut,268,269,268,269,269,"2,0",D,7600,0,400,TONS,1,"3,816",-269
29/07/2009,Fut,"267,5","267,5",267,267,"267,5","-1,5",D,8500,900,1100,TONS,1,"3,815","-267,5"
30/07/2009,Fut,275,276,"274,5","275,5",276,"8,5",D,10500,2000,2700,TONS,1,"3,825",-276
31/07/2009,Fut,276,"276,5",276,"276,5",278,"2,0",D,11600,1100,3100,TONS,1,"3,826",-278
03/08/2009,Fut,285,"285,5",285,"285,5","285,5","7,5",D,12100,500,500,TONS,1,"3,823","-285,5"
04/08/2009,Fut,"284,5","284,5","282,7","282,8","284,5","-1,0",D,14900,2800,2800,TONS,1,"3,817","-284,5"
05/08/2009,Fut,285,285,283,283,"282,5","-2,0",D,15700,800,1700,TONS,1,"3,821","-282,5"
06/08/2009,Fut,0,0,0,0,281,"-1,5",D,15700,0,0,TONS,1,"3,828",-281
07/08/2009,Fut,280,280,280,280,"281,7","0,7",D,16100,400,400,TONS,1,"3,821","-281,7"
10/08/2009,Fut,278,278,278,278,278,"-3,7",D,16000,-100,100,TONS,1,"3,824",-278
