Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
15/01/2019,Fut,"207,5","207,5","207,5","207,5","207,5","207,5",D,100,100,200,TONS,1,"37,1","-207,5"
16/01/2019,Fut,0,0,0,0,"209,5","2,0",D,100,0,0,TONS,1,"37,49","-209,5"
17/01/2019,Fut,0,0,0,0,"210,8","1,3",D,100,0,0,TONS,1,"37,85","-210,8"
18/01/2019,Fut,0,0,0,0,"212,7","1,9",D,100,0,0,TONS,1,"37,55","-212,7"
21/01/2019,Fut,0,0,0,0,"213,2","0,5",D,100,0,0,TONS,1,"37,54","-213,2"
22/01/2019,Fut,0,0,0,0,"213,7","0,5",D,100,0,0,TONS,1,"37,5","-213,7"
23/01/2019,Fut,"212,5",214,"212,5",214,214,"0,3",D,600,500,600,TONS,1,"37,59",-214
24/01/2019,Fut,0,0,0,0,"218,5","4,5",D,600,0,0,TONS,1,"37,51","-218,5"
25/01/2019,Fut,0,0,0,0,"220,1","1,6",D,600,0,0,TONS,1,"37,28","-220,1"
28/01/2019,Fut,0,0,0,0,"221,5","1,4",D,600,0,0,TONS,1,"37,2","-221,5"
29/01/2019,Fut,0,0,0,0,220,"-1,5",D,600,0,0,TONS,1,"37,07",-220
30/01/2019,Fut,0,0,0,0,"220,5","0,5",D,600,0,0,TONS,1,"37,7","-220,5"
31/01/2019,Fut,220,221,220,"220,5",220,"-0,5",D,2400,1800,1800,TONS,1,"37,01",-220
01/02/2019,Fut,220,"220,5",220,"220,5",221,"1,0",D,2900,500,500,TONS,1,"37,19",-221
04/02/2019,Fut,0,0,0,0,"221,9","0,9",D,2900,0,0,TONS,1,"37,13","-221,9"
05/02/2019,Fut,0,0,0,0,"221,9",0,D,2900,0,0,TONS,1,"37,23","-221,9"
06/02/2019,Fut,0,0,0,0,219,"-2,9",D,2900,0,0,TONS,1,"37,46",-219
07/02/2019,Fut,0,0,0,0,"216,5","-2,5",D,2900,0,0,TONS,1,"37,89","-216,5"
08/02/2019,Fut,0,0,0,0,"216,3","-0,2",D,2900,0,0,TONS,1,"37,79","-216,3"
11/02/2019,Fut,0,0,0,0,"211,3","-5,0",D,2900,0,0,TONS,1,"38,24","-211,3"
12/02/2019,Fut,0,0,0,0,"212,2","0,9",D,2900,0,0,TONS,1,"37,84","-212,2"
13/02/2019,Fut,210,210,210,210,"208,2","-4,0",D,2900,0,100,TONS,1,"38,2","-208,2"
14/02/2019,Fut,"205,5","205,5",205,"205,5","204,5","-3,7",D,2800,-100,200,TONS,1,"38,33","-204,5"
15/02/2019,Fut,0,0,0,0,204,"-0,5",D,2800,0,0,TONS,1,"38,33",-204
18/02/2019,Fut,0,0,0,0,202,"-2,0",D,2800,0,0,TONS,1,"38,86",-202
19/02/2019,Fut,0,0,0,0,"194,6","-7,4",D,2800,0,0,TONS,1,"38,81","-194,6"
20/02/2019,Fut,190,"192,5",190,"192,5","193,8","-0,8",D,2800,0,200,TONS,1,"40,52","-193,8"
21/02/2019,Fut,0,0,0,0,"195,7","1,9",D,2800,0,0,TONS,1,"39,71","-195,7"
22/02/2019,Fut,0,0,0,0,"199,7","4,0",D,2800,0,0,TONS,1,"39,36","-199,7"
25/02/2019,Fut,0,0,0,0,"197,9","-1,8",D,2800,0,0,TONS,1,"38,76","-197,9"
26/02/2019,Fut,0,0,0,0,"197,9",0,D,2800,0,0,TONS,1,"39,1","-197,9"
27/02/2019,Fut,199,199,"197,5","197,5","198,5","0,6",D,3400,600,600,TONS,1,"38,82","-198,5"
28/02/2019,Fut,"193,5","193,5","193,5","193,5","193,5","-5,0",D,3500,100,100,TONS,1,"38,99","-193,5"
01/03/2019,Fut,191,192,191,192,"193,5",0,D,3500,0,300,TONS,1,"39,5","-193,5"
06/03/2019,Fut,0,0,0,0,"192,5","-1,0",D,3500,0,0,TONS,1,"40,55","-192,5"
07/03/2019,Fut,190,190,190,190,190,"-2,5",D,3600,100,100,TONS,1,"41,65",-190
08/03/2019,Fut,0,0,0,0,186,"-4,0",D,3600,0,0,TONS,1,"41,09",-186
11/03/2019,Fut,184,184,183,183,183,"-3,0",D,3800,200,600,TONS,1,"40,73",-183
12/03/2019,Fut,185,185,185,185,185,"2,0",D,3900,100,100,TONS,1,"41,24",-185
13/03/2019,Fut,186,186,"183,5","183,5",186,"1,0",D,12600,8700,10800,TONS,1,"41,49",-186
14/03/2019,Fut,188,188,187,187,"190,5","4,5",D,22600,10000,10200,TONS,1,"40,79","-190,5"
15/03/2019,Fut,0,0,0,0,"190,5",0,D,22600,0,0,TONS,1,"39,92","-190,5"
18/03/2019,Fut,0,0,0,0,"190,5",0,D,22600,0,0,TONS,1,"39,55","-190,5"
19/03/2019,Fut,185,187,185,187,187,"-3,5",D,22600,0,1500,TONS,1,"40,19",-187
20/03/2019,Fut,185,185,"182,5","182,5",184,"-3,0",D,22700,100,400,TONS,1,"41,33",-184
21/03/2019,Fut,182,182,181,182,181,"-3,0",D,25500,2800,2800,TONS,1,"40,65",-181
22/03/2019,Fut,0,0,0,0,184,"3,0",D,25500,0,0,TONS,1,"42,04",-184
25/03/2019,Fut,0,0,0,0,"183,5","-0,5",D,25500,0,0,TONS,1,"41,75","-183,5"
26/03/2019,Fut,"180,7","181,5","180,5","180,5","181,5","-2,0",D,25600,100,1600,TONS,1,"42,06","-181,5"
27/03/2019,Fut,181,181,"180,5","180,7","180,7","-0,8",D,25900,300,300,TONS,1,"43,9","-180,7"
28/03/2019,Fut,181,184,"180,5",184,"183,1","2,4",D,25600,-300,1500,TONS,1,"43,45","-183,1"
29/03/2019,Fut,182,183,182,183,183,"-0,1",D,25600,0,900,TONS,1,"43,09",-183
01/04/2019,Fut,"182,9",183,"182,9",183,183,0,D,25600,0,1000,TONS,1,"42,9",-183
03/04/2019,Fut,182,"182,5",182,"182,5","182,5","-0,5",D,25700,100,2100,TONS,1,"42,57","-182,5"
04/04/2019,Fut,0,0,0,0,"184,5","2,0",D,25700,0,0,TONS,1,"43,31","-184,5"
05/04/2019,Fut,185,"185,5",185,"185,5","185,5","1,0",D,25700,0,500,TONS,1,"43,59","-185,5"
08/04/2019,Fut,183,183,183,183,"184,4","-1,1",D,25500,-200,200,TONS,1,"43,8","-184,4"
09/04/2019,Fut,0,0,0,0,"184,4",0,D,25500,0,0,TONS,1,"43,76","-184,4"
10/04/2019,Fut,184,184,184,184,"184,4",0,D,25600,100,100,TONS,1,"43,05","-184,4"
11/04/2019,Fut,184,184,184,184,"188,5","4,1",D,25400,-200,200,TONS,1,"42,99","-188,5"
12/04/2019,Fut,186,190,186,"186,5",190,"1,5",D,25400,0,500,TONS,1,"42,28",-190
15/04/2019,Fut,186,187,186,187,"190,5","0,5",D,25400,0,700,TONS,1,"41,6","-190,5"
16/04/2019,Fut,186,188,186,188,"187,5","-3,0",D,25400,0,2700,TONS,1,42,"-187,5"
17/04/2019,Fut,187,187,186,186,187,"-0,5",D,25400,0,400,TONS,1,"41,28",-187
22/04/2019,Fut,188,188,188,188,188,"1,0",D,26400,1000,3000,TONS,1,"42,71",-188
23/04/2019,Fut,189,190,189,190,191,"3,0",D,27600,1200,1200,TONS,1,"42,6",-191
24/04/2019,Fut,191,191,191,191,191,0,D,30900,3300,6700,TONS,1,"43,86",-191
25/04/2019,Fut,191,191,188,189,188,"-3,0",D,34500,3600,3900,TONS,1,"46,12",-188
26/04/2019,Fut,186,186,184,185,185,"-3,0",D,36600,2100,3400,TONS,1,"44,55",-185
29/04/2019,Fut,0,0,0,0,187,"2,0",D,36600,0,0,TONS,1,"44,91",-187
30/04/2019,Fut,184,"186,1",184,"185,5","186,1","-0,9",D,35000,-1600,3400,TONS,1,"43,89","-186,1"
02/05/2019,Fut,188,"188,1",188,"188,1",188,"1,9",D,34700,-300,800,TONS,1,"44,86",-188
03/05/2019,Fut,188,188,188,188,189,"1,0",D,34000,-700,200,TONS,1,"44,53",-189
06/05/2019,Fut,0,0,0,0,"194,5","5,5",D,34000,0,0,TONS,1,"44,98","-194,5"
07/05/2019,Fut,196,196,191,191,196,"1,5",D,34000,0,1600,TONS,1,"44,81",-196
08/05/2019,Fut,192,193,192,193,192,"-4,0",D,33500,-500,400,TONS,1,"44,93",-192
09/05/2019,Fut,192,193,192,193,193,"1,0",D,34000,500,800,TONS,1,"45,74",-193
10/05/2019,Fut,195,195,190,191,195,"2,0",D,33300,-700,1400,TONS,1,"44,99",-195
13/05/2019,Fut,192,192,192,192,192,"-3,0",D,29900,-3400,800,TONS,1,"45,64",-192
14/05/2019,Fut,193,193,192,192,"191,5","-0,5",D,21900,-8000,800,TONS,1,"45,05","-191,5"
15/05/2019,Fut,193,193,193,193,193,"1,5",D,16300,-5600,200,TONS,1,"45,25",-193
16/05/2019,Fut,196,196,196,196,196,"3,0",D,15800,-500,600,TONS,1,"44,95",-196
17/05/2019,Fut,195,195,195,195,"195,5","-0,5",D,15500,-300,100,TONS,1,"45,02","-195,5"
20/05/2019,Fut,196,196,196,196,196,"0,5",D,15400,-100,100,TONS,1,"45,37",-196
21/05/2019,Fut,"195,5","195,5",194,195,"194,5","-1,5",D,14900,-500,2000,TONS,1,"44,79","-194,5"
22/05/2019,Fut,197,197,197,197,197,"2,5",D,13400,-1500,200,TONS,1,"44,59",-197
23/05/2019,Fut,198,198,198,198,198,"1,0",D,12200,-1200,1300,TONS,1,"45,01",-198
24/05/2019,Fut,198,198,198,198,198,0,D,0,-12200,500,TONS,1,"45,11",-198
