Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
08/04/2020,Fut,202,202,202,202,202,"202,0",D,100,100,100,TONS,"65,16","65,1",-202
13/04/2020,Fut,"201,5","201,5",201,201,202,0,D,300,200,200,TONS,"65,38","65,31",-202
14/04/2020,Fut,201,201,201,201,202,0,D,400,100,100,TONS,"65,5","65,48",-202
15/04/2020,Fut,0,0,0,0,"201,5","-0,5",D,400,0,0,TONS,"65,619","65,68","-201,5"
16/04/2020,Fut,0,0,0,0,201,"-0,5",D,400,0,0,TONS,"65,74","65,81",-201
17/04/2020,Fut,0,0,0,0,201,0,D,400,0,0,TONS,"65,86","65,79",-201
20/04/2020,Fut,0,0,0,0,"201,5","0,5",D,400,0,0,TONS,"65,98","65,91","-201,5"
21/04/2020,Fut,0,0,0,0,"201,5",0,D,400,0,0,TONS,"66,09","66,15","-201,5"
22/04/2020,Fut,0,0,0,0,201,"-0,5",D,400,0,0,TONS,"66,23","66,29",-201
23/04/2020,Fut,199,199,199,199,199,"-2,0",D,600,200,200,TONS,"66,32","66,25",-199
24/04/2020,Fut,195,195,195,195,198,"-1,0",D,800,200,200,TONS,"66,43","66,5",-198
27/04/2020,Fut,193,193,193,193,195,"-3,0",D,900,100,100,TONS,"66,53","66,46",-195
28/04/2020,Fut,195,195,193,193,195,0,D,1700,800,900,TONS,"66,63","66,57",-195
29/04/2020,Fut,190,190,190,190,"193,5","-1,5",D,2200,500,500,TONS,"66,75","66,68","-193,5"
30/04/2020,Fut,"190,5",191,190,191,191,"-2,5",D,2700,500,1800,TONS,"66,84","66,91",-191
04/05/2020,Fut,191,191,191,191,191,0,D,600,-2100,1000,TONS,"66,93","66,86",-191
05/05/2020,Fut,"190,5","190,5",190,190,191,0,D,700,100,500,TONS,67,"66,94",-191
06/05/2020,Fut,190,190,190,190,190,"-1,0",D,1100,400,400,TONS,"67,1","67,2",-190
07/05/2020,Fut,190,190,190,190,190,0,D,1200,100,100,TONS,"67,19","67,2",-190
08/05/2020,Fut,188,188,188,188,190,0,D,1400,200,400,TONS,"67,27","67,35",-190
11/05/2020,Fut,0,0,0,0,190,0,D,1400,0,0,TONS,"67,37","67,45",-190
12/05/2020,Fut,190,190,188,188,188,"-2,0",D,800,-600,800,TONS,"67,46","67,48",-188
13/05/2020,Fut,186,186,"185,5","185,5",187,"-1,0",D,1100,300,300,TONS,"67,54","67,62",-187
14/05/2020,Fut,0,0,0,0,"186,5","-0,5",D,1100,0,0,TONS,"67,64","67,76","-186,5"
15/05/2020,Fut,183,183,183,183,183,"-3,5",D,1400,300,300,TONS,"67,73","67,8",-183
18/05/2020,Fut,180,180,180,180,"181,9","-1,1",D,900,-500,200,TONS,"67,82","67,89","-181,9"
19/05/2020,Fut,180,180,180,180,180,"-1,9",D,1000,100,900,TONS,"67,9","67,99",-180
20/05/2020,Fut,181,181,181,181,181,"1,0",D,900,-100,200,TONS,68,"68,08",-181
21/05/2020,Fut,"181,5","181,5",180,180,180,"-1,0",D,0,-900,600,TONS,"68,09","68,02",-180
