Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
29/08/2013,Fut,"337,5","337,5","337,5","337,5","337,5","337,5",D,0,0,1000,TONS,1,"5,658","-337,5"
30/08/2013,Fut,"335,5","335,5",335,335,334,"-3,5",D,0,0,1000,TONS,1,"5,667",-334
02/09/2013,Fut,"335,5","335,5","335,5","335,5","336,5","2,5",D,300,300,300,TONS,1,"5,687","-336,5"
03/09/2013,Fut,"340,5","341,5","340,5",341,341,"4,5",D,2600,2300,2500,TONS,1,"5,694",-341
04/09/2013,Fut,0,0,0,0,"334,8","-6,2",D,2600,0,0,TONS,1,"5,704","-334,8"
05/09/2013,Fut,0,0,0,0,"338,7","3,9",D,2600,0,0,TONS,1,"5,705","-338,7"
06/09/2013,Fut,0,0,0,0,"338,7",0,D,2600,0,0,TONS,1,"5,7","-338,7"
09/09/2013,Fut,0,0,0,0,"338,8","0,1",D,2600,0,0,TONS,1,"5,699","-338,8"
10/09/2013,Fut,0,0,0,0,"341,1","2,3",D,2600,0,0,TONS,1,"5,706","-341,1"
11/09/2013,Fut,0,0,0,0,"341,1",0,D,2600,0,0,TONS,1,"5,726","-341,1"
12/09/2013,Fut,0,0,0,0,"348,6","7,5",D,2600,0,0,TONS,1,"5,724","-348,6"
13/09/2013,Fut,0,0,0,0,345,"-3,6",D,2600,0,0,TONS,1,"5,732",-345
16/09/2013,Fut,0,0,0,0,338,"-7,0",D,2600,0,0,TONS,1,"5,727",-338
17/09/2013,Fut,0,0,0,0,"337,5","-0,5",D,2600,0,0,TONS,1,"5,735","-337,5"
18/09/2013,Fut,0,0,0,0,"339,1","1,6",D,2600,0,0,TONS,1,"5,755","-339,1"
19/09/2013,Fut,0,0,0,0,"339,1",0,D,2600,0,0,TONS,1,"5,764","-339,1"
20/09/2013,Fut,0,0,0,0,"337,5","-1,6",D,2600,0,0,TONS,1,"5,763","-337,5"
23/09/2013,Fut,0,0,0,0,339,"1,5",D,2600,0,0,TONS,1,"5,767",-339
24/09/2013,Fut,0,0,0,0,"337,3","-1,7",D,2600,0,0,TONS,1,"5,767","-337,3"
25/09/2013,Fut,"338,5","338,6","338,5","338,6","338,6","1,3",D,3600,1000,1000,TONS,1,"5,767","-338,6"
26/09/2013,Fut,"339,5",340,"337,9","337,9",340,"1,4",D,8700,5100,5900,TONS,1,"5,785",-340
27/09/2013,Fut,340,340,"339,5","339,5",340,0,D,11200,2500,3300,TONS,1,"5,786",-340
30/09/2013,Fut,0,0,0,0,334,"-6,0",D,11200,0,0,TONS,1,"5,789",-334
01/10/2013,Fut,0,0,0,0,"331,3","-2,7",D,6200,-5000,0,TONS,1,"5,803","-331,3"
02/10/2013,Fut,"333,3","333,5","333,3","333,5","333,5","2,2",D,6100,-100,600,TONS,1,"5,798","-333,5"
03/10/2013,Fut,339,"339,5",338,338,"339,5","6,0",D,6500,400,1700,TONS,1,"5,808","-339,5"
04/10/2013,Fut,340,"340,2",340,340,340,"0,5",D,5900,-600,1300,TONS,1,"5,817",-340
07/10/2013,Fut,"341,5","341,5",341,341,"341,5","1,5",D,5800,-100,600,TONS,1,"5,814","-341,5"
08/10/2013,Fut,339,"340,5",339,"340,5","340,5","-1,0",D,5600,-200,1000,TONS,1,"5,825","-340,5"
09/10/2013,Fut,"341,5","342,5","341,5","342,5","342,5","2,0",D,4900,-700,2500,TONS,1,"5,826","-342,5"
10/10/2013,Fut,345,345,344,344,345,"2,5",D,5000,100,1000,TONS,1,"5,832",-345
11/10/2013,Fut,"341,5","341,5","341,5","341,5",341,"-4,0",D,4600,-400,100,TONS,1,"5,829",-341
15/10/2013,Fut,0,0,0,0,"344,5","3,5",D,4600,0,0,TONS,1,"5,834","-344,5"
16/10/2013,Fut,347,347,345,"345,5",347,"2,5",D,2600,-2000,2800,TONS,1,"5,837",-347
17/10/2013,Fut,347,347,347,347,"347,5","0,5",D,2300,-300,100,TONS,1,"5,85","-347,5"
18/10/2013,Fut,348,348,348,348,"347,5",0,D,2300,0,400,TONS,1,"5,859","-347,5"
21/10/2013,Fut,"349,5","349,5","349,5","349,5","349,5","2,0",D,700,-1600,1300,TONS,1,"5,865","-349,5"
22/10/2013,Fut,350,350,"349,5","349,8",350,"0,5",D,0,-700,500,TONS,1,"5,865",-350
23/10/2013,Fut,0,0,0,0,352,"2,0",D,0,0,0,TONS,1,"5,858",-352
24/10/2013,Fut,0,0,0,0,354,"2,0",D,0,0,0,TONS,1,"5,872",-354
