Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
21/05/2021,Fut,"318,5","318,5","318,5","318,5","318,5","318,5",D,300,300,300,TONS,"94,27","94,2","-318,5"
26/05/2021,Fut,0,0,0,0,"315,5","-3,0",D,300,0,0,TONS,"94,48","94,41","-315,5"
27/05/2021,Fut,0,0,0,0,317,"1,5",D,300,0,0,TONS,"94,53","94,46",-317
28/05/2021,Fut,0,0,0,0,"314,5","-2,5",D,300,0,0,TONS,"94,56","94,64","-314,5"
31/05/2021,Fut,0,0,0,0,316,"1,5",D,300,0,0,TONS,"94,73","94,7",-316
01/06/2021,Fut,"319,1","319,1",317,317,317,"1,0",D,1300,1000,1000,TONS,"94,73","94,8",-317
02/06/2021,Fut,316,316,"315,9",316,"315,9","-1,1",D,1600,300,1000,TONS,"94,77","94,7","-315,9"
03/06/2021,Fut,316,"316,6",316,"316,6","316,6","0,7",D,1900,300,300,TONS,"94,81","94,75","-316,6"
04/06/2021,Fut,"317,5","318,5","317,5","318,5","318,5","1,9",D,2200,300,600,TONS,"94,86","94,79","-318,5"
07/06/2021,Fut,321,"321,5",321,"321,5","321,5","3,0",D,2700,500,700,TONS,"94,98","95,05","-321,5"
08/06/2021,Fut,321,321,321,321,321,"-0,5",D,2700,0,400,TONS,"95,01","95,09",-321
09/06/2021,Fut,"321,5","321,5",321,321,321,0,D,4600,1900,2200,TONS,"95,05","94,98",-321
10/06/2021,Fut,321,"322,2","320,5","322,2","322,2","1,2",D,7500,2900,3200,TONS,"95,11","95,03","-322,2"
11/06/2021,Fut,319,"319,5",319,319,319,"-3,2",D,8100,600,1000,TONS,"95,13","95,07",-319
14/06/2021,Fut,312,312,"309,5",310,310,"-9,0",D,8500,400,1300,TONS,"95,25","95,19",-310
15/06/2021,Fut,308,308,"307,1","307,1",306,"-4,0",D,9000,500,700,TONS,"95,3","95,22",-306
16/06/2021,Fut,0,0,0,0,304,"-2,0",D,9000,0,0,TONS,"95,31","95,24",-304
17/06/2021,Fut,297,297,"291,4","292,5","292,5","-11,5",D,10200,1200,1800,TONS,"95,37","95,28","-292,5"
18/06/2021,Fut,300,304,300,304,304,"11,5",D,10700,500,2000,TONS,"95,37","95,44",-304
22/06/2021,Fut,"308,5","308,5",300,300,300,"-4,0",D,11400,700,800,TONS,"95,49","95,43",-300
23/06/2021,Fut,"300,3",301,"299,8",300,300,0,D,11800,400,1900,TONS,"95,53","95,46",-300
24/06/2021,Fut,294,"298,5",294,"298,5","300,5","0,5",D,12600,800,1200,TONS,"95,55","95,49","-300,5"
25/06/2021,Fut,296,296,296,296,"295,5","-5,0",D,12600,0,600,TONS,"95,6","95,52","-295,5"
28/06/2021,Fut,"298,8",301,"298,8","300,2","300,2","4,7",D,13600,1000,1900,TONS,"95,69","95,76","-300,2"
29/06/2021,Fut,"300,5","301,1","296,2","296,2","296,2","-4,0",D,14600,1000,1600,TONS,"95,71","95,63","-296,2"
30/06/2021,Fut,306,306,303,306,303,"6,8",D,15100,500,1200,TONS,"95,72","95,66",-303
01/07/2021,Fut,306,306,302,"305,5","304,5","1,5",D,16300,1200,2200,TONS,"95,76","95,71","-304,5"
02/07/2021,Fut,"303,4","308,1","302,8","308,1","307,8","3,3",D,18000,1700,4300,TONS,"95,79","95,73","-307,8"
05/07/2021,Fut,0,0,0,0,"309,5","1,7",D,18000,0,0,TONS,"95,88","95,82","-309,5"
06/07/2021,Fut,"299,2","301,5",298,"301,5","301,5","-8,0",D,18700,700,2200,TONS,"95,91","95,99","-301,5"
07/07/2021,Fut,"302,9",304,"302,9",304,304,"2,5",D,19600,900,3700,TONS,"95,94","96,02",-304
08/07/2021,Fut,"303,4","303,9",302,"302,8","303,3","-0,7",D,19900,300,1100,TONS,"95,99","95,91","-303,3"
12/07/2021,Fut,306,306,"305,5","305,5","305,5","2,2",D,19900,0,700,TONS,"96,09","96,03","-305,5"
13/07/2021,Fut,0,0,0,0,308,"2,5",D,19900,0,0,TONS,"96,12","96,06",-308
14/07/2021,Fut,310,311,310,"310,8","310,8","2,8",D,22100,2200,2900,TONS,"96,16","96,09","-310,8"
15/07/2021,Fut,311,311,310,311,311,"0,2",D,22400,300,1500,TONS,"96,18","96,26",-311
16/07/2021,Fut,"312,1","312,1",311,311,311,0,D,24500,2100,2100,TONS,"96,22","96,15",-311
19/07/2021,Fut,"308,3","308,8","303,2","303,2","303,2","-7,8",D,25200,700,1400,TONS,"96,31","96,24","-303,2"
20/07/2021,Fut,307,"312,5",307,"312,5","312,5","9,3",D,25100,-100,400,TONS,"96,34","96,41","-312,5"
21/07/2021,Fut,310,312,310,312,312,"-0,5",D,26600,1500,1900,TONS,"96,36","96,3",-312
22/07/2021,Fut,310,311,308,311,311,"-1,0",D,27900,1300,3400,TONS,"96,41","96,33",-311
23/07/2021,Fut,"309,2","310,5","309,2",310,"310,5","-0,5",D,28700,800,3500,TONS,"96,42","96,5","-310,5"
26/07/2021,Fut,"312,1",313,"312,1",313,313,"2,5",D,33100,4400,11000,TONS,"96,54","96,59",-313
27/07/2021,Fut,316,316,"314,5",315,315,"2,0",D,47600,14500,18200,TONS,"96,57","96,64",-315
28/07/2021,Fut,"314,4","316,5","314,4","316,5","316,5","1,5",D,53100,5500,6500,TONS,"96,61","96,71","-316,5"
29/07/2021,Fut,319,"319,5","318,4","319,3",319,"2,5",D,62200,9100,10600,TONS,"96,64","96,62",-319
30/07/2021,Fut,315,"318,2",315,"317,5","318,2","-0,8",D,66900,4700,9600,TONS,"96,69","96,77","-318,2"
02/08/2021,Fut,317,"319,5",317,"319,5","319,7","1,5",D,70400,3500,6100,TONS,"96,79","96,72","-319,7"
03/08/2021,Fut,"315,1","317,2",313,313,"317,2","-2,5",D,70800,400,3200,TONS,"96,81","96,89","-317,2"
04/08/2021,Fut,"316,5","318,5","316,5","318,5","318,5","1,3",D,72500,1700,3000,TONS,"96,83","96,92","-318,5"
05/08/2021,Fut,"319,2","319,5",319,"319,5","319,5","1,0",D,75100,2600,8300,TONS,"96,89","96,8","-319,5"
06/08/2021,Fut,"320,7","320,7","318,5",320,320,"0,5",D,81700,6600,9800,TONS,"96,9","96,84",-320
09/08/2021,Fut,"319,8","319,8",318,318,318,"-2,0",D,82100,400,3000,TONS,97,"97,07",-318
10/08/2021,Fut,"319,9","320,5","319,5","320,5","320,5","2,5",D,82200,100,8000,TONS,"97,03","97,1","-320,5"
11/08/2021,Fut,"320,5","321,1","320,5",321,321,"0,5",D,83200,1000,2200,TONS,"97,04","97,13",-321
12/08/2021,Fut,"324,5","324,5",319,322,322,"1,0",D,83800,600,5900,TONS,"97,07","97,01",-322
13/08/2021,Fut,"323,3",324,322,"322,5","322,5","0,5",D,87700,3900,5600,TONS,"97,11","97,17","-322,5"
17/08/2021,Fut,322,"324,4",322,"323,5","323,5","1,0",D,86700,-1000,2100,TONS,"97,25","97,3","-323,5"
18/08/2021,Fut,324,324,323,323,323,"-0,5",D,89200,2500,2700,TONS,"97,25","97,2",-323
