Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
03/04/2017,Fut,149,149,148,148,149,"149,0",D,1500,1500,1500,TONS,1,"15,47",-149
04/04/2017,Fut,"147,3","147,3","146,5","146,5","147,3","-1,7",D,2500,1000,1000,TONS,1,"15,34","-147,3"
05/04/2017,Fut,0,0,0,0,145,"-2,3",D,2500,0,0,TONS,1,"15,31",-145
06/04/2017,Fut,0,0,0,0,145,0,D,2500,0,0,TONS,1,"15,4",-145
07/04/2017,Fut,0,0,0,0,145,0,D,2500,0,0,TONS,1,"15,42",-145
10/04/2017,Fut,0,0,0,0,147,"2,0",D,2500,0,0,TONS,1,"15,3",-147
11/04/2017,Fut,0,0,0,0,"145,5","-1,5",D,2500,0,0,TONS,1,"15,25","-145,5"
12/04/2017,Fut,0,0,0,0,"145,5",0,D,2500,0,0,TONS,1,"15,145","-145,5"
17/04/2017,Fut,0,0,0,0,"145,5",0,D,2500,0,0,TONS,1,"15,26","-145,5"
18/04/2017,Fut,0,0,0,0,"145,5",0,D,2500,0,0,TONS,1,"15,19","-145,5"
19/04/2017,Fut,0,0,0,0,"146,8","1,3",D,2500,0,0,TONS,1,"15,4","-146,8"
20/04/2017,Fut,0,0,0,0,"146,3","-0,5",D,2500,0,0,TONS,1,"15,37","-146,3"
21/04/2017,Fut,0,0,0,0,"145,6","-0,7",D,2500,0,0,TONS,1,"15,34","-145,6"
24/04/2017,Fut,0,0,0,0,"146,6","1,0",D,2500,0,0,TONS,1,"15,4","-146,6"
25/04/2017,Fut,0,0,0,0,"147,6","1,0",D,2500,0,0,TONS,1,"15,37","-147,6"
26/04/2017,Fut,0,0,0,0,"146,5","-1,1",D,2500,0,0,TONS,1,"15,405","-146,5"
27/04/2017,Fut,0,0,0,0,146,"-0,5",D,2500,0,0,TONS,1,"15,425",-146
28/04/2017,Fut,0,0,0,0,146,0,D,2500,0,0,TONS,1,"15,405",-146
02/05/2017,Fut,0,0,0,0,147,"1,0",D,2500,0,0,TONS,1,"15,34",-147
03/05/2017,Fut,0,0,0,0,148,"1,0",D,2500,0,0,TONS,1,"15,22",-148
04/05/2017,Fut,0,0,0,0,146,"-2,0",D,2500,0,0,TONS,1,"15,355",-146
05/05/2017,Fut,0,0,0,0,148,"2,0",D,2500,0,0,TONS,1,"15,31",-148
08/05/2017,Fut,0,0,0,0,"146,5","-1,5",D,2500,0,0,TONS,1,"15,43","-146,5"
09/05/2017,Fut,0,0,0,0,146,"-0,5",D,2500,0,0,TONS,1,"15,65",-146
10/05/2017,Fut,0,0,0,0,147,"1,0",D,2500,0,0,TONS,1,"15,5",-147
11/05/2017,Fut,0,0,0,0,"146,2","-0,8",D,2500,0,0,TONS,1,"15,47","-146,2"
12/05/2017,Fut,0,0,0,0,146,"-0,2",D,2500,0,0,TONS,1,"15,43",-146
15/05/2017,Fut,0,0,0,0,"145,4","-0,6",D,2500,0,0,TONS,1,"15,495","-145,4"
