Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
24/05/2019,Fut,145,145,145,145,145,"145,0",D,500,500,500,TONS,1,"45,11",-145
27/05/2019,Fut,147,147,147,147,147,"2,0",D,1900,1400,1500,TONS,1,"45,06",-147
28/05/2019,Fut,0,0,0,0,"147,5","0,5",D,1900,0,0,TONS,1,"44,86","-147,5"
29/05/2019,Fut,0,0,0,0,151,"3,5",D,1900,0,0,TONS,1,"44,59",-151
30/05/2019,Fut,150,150,150,150,150,"-1,0",D,2000,100,200,TONS,1,"44,38",-150
31/05/2019,Fut,151,151,151,151,151,"1,0",D,2000,0,100,TONS,1,"44,99",-151
03/06/2019,Fut,0,0,0,0,151,0,D,1700,-300,0,TONS,1,"44,67",-151
04/06/2019,Fut,0,0,0,0,149,"-2,0",D,1500,-200,0,TONS,1,"44,59",-149
05/06/2019,Fut,150,150,150,150,"142,8","-6,2",D,1800,300,300,TONS,1,"44,73","-142,8"
06/06/2019,Fut,0,0,0,0,145,"2,2",D,1800,0,0,TONS,1,45,-145
07/06/2019,Fut,0,0,0,0,146,"1,0",D,1800,0,0,TONS,1,"44,94",-146
10/06/2019,Fut,0,0,0,0,"144,5","-1,5",D,1800,0,0,TONS,1,"44,94","-144,5"
11/06/2019,Fut,0,0,0,0,148,"3,5",D,1800,0,0,TONS,1,"44,78",-148
12/06/2019,Fut,0,0,0,0,150,"2,0",D,1800,0,0,TONS,1,"43,99",-150
13/06/2019,Fut,0,0,0,0,155,"5,0",D,800,-1000,0,TONS,1,"43,69",-155
14/06/2019,Fut,0,0,0,0,159,"4,0",D,800,0,0,TONS,1,"43,93",-159
18/06/2019,Fut,0,0,0,0,164,"5,0",D,800,0,0,TONS,1,"43,66",-164
19/06/2019,Fut,0,0,0,0,"164,4","0,4",D,800,0,0,TONS,1,"43,51","-164,4"
21/06/2019,Fut,0,0,0,0,168,"3,6",D,0,-800,0,TONS,1,"42,72",-168
